Nome;DN;Dia
dia1; 1/8;10,29
dia2; 1/4;13,72
dia3; 3/8;17,1
dia4; 1/2;21,34
dia5; 3/4;26,67
dia6;1;33,4
dia7;1 1/4;42,16
dia8;1 1/2;48,26
dia9;2;60,32
dia10;2 1/2;73,02
dia11;3;88,9
dia12;3 1/2;101,6
dia13;4;114,3
dia14;5;141,3
dia15;6;168,27
dia16;8;219,07
dia17;10;273,05
dia18;12;323,85
dia19;14;355,6
dia20;16;406,4
dia21;18;457,2
dia22;20;508
dia23;22;558,8
dia24;24;609,6
dia25;26;660,4
dia26;28;711,2
dia27;30;762
dia28;32;812,8
dia29;34;863,6
dia30;36;914,4
dia31;38;965,2
dia32;40;1016
dia33;42;1066,8
dia34;44;1117,6
dia35;46;1168,4
dia36;48;1219,2
